customer_id,Segment
1,Loyal Customers
2,At Risk
3,Loyal Customers
4,At Risk
5,Potential Loyalist
6,Potential Loyalist
7,At Risk
8,Loyal Customers
9,Potential Loyalist
10,New Customers
11,Potential Loyalist
12,Potential Loyalist
13,Potential Loyalist
14,New Customers
15,Potential Loyalist
16,Potential Loyalist
17,New Customers
18,Potential Loyalist
19,New Customers
20,New Customers
21,Potential Loyalist
22,Loyal Customers
23,Potential Loyalist
24,Potential Loyalist
25,Loyal Customers
26,At Risk
27,Potential Loyalist
28,Potential Loyalist
29,Loyal Customers
30,New Customers
31,New Customers
32,Potential Loyalist
33,Potential Loyalist
34,Loyal Customers
35,New Customers
36,At Risk
37,Loyal Customers
38,New Customers
39,Loyal Customers
40,Potential Loyalist
41,Loyal Customers
42,At Risk
43,Potential Loyalist
44,Potential Loyalist
45,New Customers
46,New Customers
47,Potential Loyalist
48,Loyal Customers
49,Potential Loyalist
50,Loyal Customers
51,Loyal Customers
52,Potential Loyalist
53,New Customers
54,Potential Loyalist
55,Potential Loyalist
56,Potential Loyalist
57,Potential Loyalist
58,Potential Loyalist
59,New Customers
60,At Risk
61,Potential Loyalist
62,Potential Loyalist
63,New Customers
64,New Customers
65,Potential Loyalist
66,Potential Loyalist
67,At Risk
68,New Customers
69,Potential Loyalist
70,New Customers
71,At Risk
72,New Customers
73,At Risk
74,New Customers
75,Potential Loyalist
76,Potential Loyalist
77,New Customers
78,At Risk
79,Potential Loyalist
80,Loyal Customers
81,New Customers
82,New Customers
83,Potential Loyalist
84,Potential Loyalist
85,New Customers
86,Loyal Customers
87,Loyal Customers
88,Potential Loyalist
89,Loyal Customers
90,Potential Loyalist
91,Potential Loyalist
92,New Customers
93,New Customers
94,Potential Loyalist
95,New Customers
96,New Customers
97,Potential Loyalist
98,At Risk
99,Loyal Customers
100,New Customers
101,New Customers
102,Potential Loyalist
103,New Customers
104,Potential Loyalist
105,New Customers
106,New Customers
107,New Customers
108,New Customers
109,Loyal Customers
110,Potential Loyalist
111,At Risk
112,Potential Loyalist
113,At Risk
114,New Customers
115,Potential Loyalist
116,Potential Loyalist
117,Loyal Customers
118,New Customers
119,New Customers
120,At Risk
121,At Risk
122,Potential Loyalist
123,At Risk
124,Potential Loyalist
125,Loyal Customers
126,New Customers
127,Loyal Customers
128,At Risk
129,At Risk
130,New Customers
131,At Risk
132,Potential Loyalist
133,New Customers
134,Potential Loyalist
135,Potential Loyalist
136,Loyal Customers
137,New Customers
138,Potential Loyalist
139,Loyal Customers
140,Potential Loyalist
141,At Risk
142,Loyal Customers
143,New Customers
144,Loyal Customers
145,Potential Loyalist
146,At Risk
147,Potential Loyalist
148,Potential Loyalist
149,Potential Loyalist
150,New Customers
151,Loyal Customers
152,At Risk
153,Potential Loyalist
154,New Customers
155,New Customers
156,New Customers
157,At Risk
158,Potential Loyalist
159,Potential Loyalist
160,New Customers
161,At Risk
162,New Customers
163,At Risk
164,At Risk
165,Loyal Customers
166,Loyal Customers
167,Loyal Customers
168,Potential Loyalist
169,New Customers
170,New Customers
171,Loyal Customers
172,Potential Loyalist
173,Loyal Customers
174,Loyal Customers
175,Potential Loyalist
176,Potential Loyalist
177,Loyal Customers
178,New Customers
179,New Customers
180,Potential Loyalist
181,New Customers
182,Potential Loyalist
183,Potential Loyalist
184,New Customers
185,Potential Loyalist
186,Potential Loyalist
187,Potential Loyalist
188,Potential Loyalist
189,Potential Loyalist
190,New Customers
191,At Risk
192,New Customers
193,Potential Loyalist
194,At Risk
195,Loyal Customers
196,Potential Loyalist
197,Loyal Customers
198,Loyal Customers
199,New Customers
200,Loyal Customers
201,Loyal Customers
202,New Customers
203,New Customers
204,Loyal Customers
205,Potential Loyalist
206,New Customers
207,At Risk
208,New Customers
209,Potential Loyalist
210,Potential Loyalist
211,Loyal Customers
212,At Risk
213,Loyal Customers
214,Potential Loyalist
215,Loyal Customers
216,New Customers
217,Loyal Customers
218,New Customers
219,Potential Loyalist
220,Potential Loyalist
221,Potential Loyalist
222,New Customers
223,Potential Loyalist
224,Potential Loyalist
225,New Customers
226,At Risk
227,New Customers
228,New Customers
229,New Customers
230,Loyal Customers
231,New Customers
232,At Risk
233,Potential Loyalist
234,Loyal Customers
235,Loyal Customers
236,New Customers
237,Potential Loyalist
238,Potential Loyalist
239,Loyal Customers
240,Potential Loyalist
241,New Customers
242,Potential Loyalist
243,Potential Loyalist
244,At Risk
245,New Customers
246,Loyal Customers
247,Potential Loyalist
248,Potential Loyalist
249,Potential Loyalist
250,Loyal Customers
251,New Customers
252,New Customers
253,New Customers
254,Potential Loyalist
255,Loyal Customers
256,Potential Loyalist
257,Potential Loyalist
258,New Customers
259,New Customers
260,Loyal Customers
261,Loyal Customers
262,New Customers
263,Potential Loyalist
264,New Customers
265,New Customers
266,New Customers
267,At Risk
268,New Customers
269,At Risk
270,Potential Loyalist
271,At Risk
272,Potential Loyalist
273,Loyal Customers
274,At Risk
275,Potential Loyalist
276,Potential Loyalist
277,New Customers
278,At Risk
279,New Customers
280,Loyal Customers
281,New Customers
282,New Customers
283,Potential Loyalist
284,At Risk
285,Potential Loyalist
286,At Risk
287,At Risk
288,New Customers
289,Loyal Customers
290,Potential Loyalist
291,New Customers
292,Potential Loyalist
293,New Customers
294,Potential Loyalist
295,Potential Loyalist
296,New Customers
297,New Customers
298,Loyal Customers
299,Potential Loyalist
300,At Risk
301,New Customers
302,At Risk
303,New Customers
304,Potential Loyalist
305,Potential Loyalist
306,At Risk
307,Loyal Customers
308,Potential Loyalist
309,New Customers
310,Potential Loyalist
311,Potential Loyalist
312,Potential Loyalist
313,Potential Loyalist
314,Potential Loyalist
315,Loyal Customers
316,New Customers
317,Potential Loyalist
318,Potential Loyalist
319,Potential Loyalist
320,Loyal Customers
321,New Customers
322,Loyal Customers
323,Potential Loyalist
324,New Customers
325,Potential Loyalist
326,At Risk
327,Potential Loyalist
328,Potential Loyalist
329,Potential Loyalist
330,Potential Loyalist
331,Potential Loyalist
332,At Risk
333,Potential Loyalist
334,Potential Loyalist
335,New Customers
336,New Customers
337,Potential Loyalist
338,Potential Loyalist
339,Potential Loyalist
340,Potential Loyalist
341,At Risk
342,New Customers
343,Loyal Customers
344,Loyal Customers
345,Potential Loyalist
346,Loyal Customers
347,Loyal Customers
348,Potential Loyalist
349,At Risk
350,Potential Loyalist
351,New Customers
352,Potential Loyalist
353,Loyal Customers
354,Potential Loyalist
355,New Customers
356,Potential Loyalist
357,Loyal Customers
358,New Customers
359,Loyal Customers
360,Potential Loyalist
361,Potential Loyalist
362,New Customers
363,Loyal Customers
364,Potential Loyalist
365,Potential Loyalist
366,Potential Loyalist
367,Potential Loyalist
368,Loyal Customers
369,Loyal Customers
370,Potential Loyalist
371,Potential Loyalist
372,Potential Loyalist
373,At Risk
374,Potential Loyalist
375,New Customers
376,New Customers
377,Loyal Customers
378,Potential Loyalist
379,At Risk
380,Loyal Customers
381,Potential Loyalist
382,Potential Loyalist
383,New Customers
384,New Customers
385,Loyal Customers
386,New Customers
387,New Customers
388,New Customers
389,New Customers
390,Potential Loyalist
391,New Customers
392,Potential Loyalist
393,At Risk
394,Potential Loyalist
395,Potential Loyalist
396,Potential Loyalist
397,New Customers
398,Potential Loyalist
399,Potential Loyalist
400,At Risk
401,Potential Loyalist
402,Potential Loyalist
403,Potential Loyalist
404,Loyal Customers
405,Potential Loyalist
406,Potential Loyalist
407,Loyal Customers
408,New Customers
409,New Customers
410,Potential Loyalist
411,At Risk
412,New Customers
413,At Risk
414,Potential Loyalist
415,At Risk
416,New Customers
417,Potential Loyalist
418,Potential Loyalist
419,Potential Loyalist
420,Loyal Customers
421,Potential Loyalist
422,At Risk
423,At Risk
424,Potential Loyalist
425,Loyal Customers
426,Loyal Customers
427,New Customers
428,Loyal Customers
429,Loyal Customers
430,Potential Loyalist
431,At Risk
432,Loyal Customers
433,Loyal Customers
434,At Risk
435,New Customers
436,New Customers
437,Potential Loyalist
438,Loyal Customers
439,Potential Loyalist
440,Potential Loyalist
441,New Customers
442,Potential Loyalist
443,At Risk
444,Potential Loyalist
445,Loyal Customers
446,Loyal Customers
447,Potential Loyalist
448,At Risk
449,Potential Loyalist
450,New Customers
451,Potential Loyalist
452,New Customers
453,Potential Loyalist
454,Potential Loyalist
455,New Customers
456,Potential Loyalist
457,Potential Loyalist
458,New Customers
459,Potential Loyalist
460,New Customers
461,Loyal Customers
462,Potential Loyalist
463,Potential Loyalist
464,Potential Loyalist
465,Potential Loyalist
466,Potential Loyalist
467,At Risk
468,Potential Loyalist
469,Loyal Customers
470,Potential Loyalist
471,Potential Loyalist
472,Potential Loyalist
473,Loyal Customers
474,New Customers
475,Potential Loyalist
476,New Customers
477,Potential Loyalist
478,Loyal Customers
479,Loyal Customers
480,New Customers
481,New Customers
482,Loyal Customers
483,Potential Loyalist
484,New Customers
485,Potential Loyalist
486,Potential Loyalist
487,At Risk
488,Potential Loyalist
489,At Risk
490,Loyal Customers
491,Potential Loyalist
492,New Customers
493,New Customers
494,At Risk
495,Potential Loyalist
496,New Customers
497,New Customers
498,Loyal Customers
499,Loyal Customers
500,Loyal Customers
501,At Risk
502,At Risk
503,New Customers
504,Potential Loyalist
505,Potential Loyalist
506,Loyal Customers
507,Potential Loyalist
508,At Risk
509,Potential Loyalist
510,New Customers
511,New Customers
512,New Customers
513,Potential Loyalist
514,Potential Loyalist
515,Loyal Customers
516,Loyal Customers
517,Potential Loyalist
518,At Risk
519,New Customers
520,New Customers
521,At Risk
522,New Customers
523,Potential Loyalist
524,Potential Loyalist
525,Loyal Customers
526,At Risk
527,New Customers
528,Potential Loyalist
529,Potential Loyalist
530,At Risk
531,New Customers
532,Potential Loyalist
533,Potential Loyalist
534,Potential Loyalist
535,New Customers
536,New Customers
537,New Customers
538,Potential Loyalist
539,Potential Loyalist
540,Potential Loyalist
541,At Risk
542,Potential Loyalist
543,New Customers
544,At Risk
545,Potential Loyalist
546,Potential Loyalist
547,Potential Loyalist
548,Potential Loyalist
549,Potential Loyalist
550,New Customers
551,At Risk
552,At Risk
553,Potential Loyalist
554,New Customers
555,At Risk
556,Potential Loyalist
557,At Risk
558,Potential Loyalist
559,New Customers
560,Potential Loyalist
